,accuracy,precision,recall,f1
SVM_rbf,0.9580237116129188,0.9546272965879266,0.9888422035480859,0.9713349076862462
SVM_linear,0.9560036553399226,0.9694608601984833,0.9693510737628385,0.9693725269508525
RandomForest,0.9379554144722603,0.9414366294825739,0.9748832866479926,0.9576573511677564
kNN,0.9220234230334512,0.979384476322923,0.9109477124183005,0.943611712643487
LogReg,0.9540196715003727,0.9695051903345057,0.9665732959850607,0.9679884180693278
